Codigo de Lockets,Area,Area de Lockers,ESTADO,UNIDAD
16,ADM,ADMINISTRACION,LOCKERT DISPONIBLE,1
27,ADM,ADMINISTRACION,LOCKERT ASIGNADO,1
1,ASUR,ADMINISTRACION,LOCKERT DISPONIBLE,1
5,ASUR,VESTIDOR MUJERES,LOCKERT DISPONIBLE,1
3,CAL,ADMINISTRACION,LOCKERT DISPONIBLE,1
4,CAL,VESTIDOR MUJERES,LOCKERT ASIGNADO,1
6,MTTO,ADMINISTRACION,LOCKERT ASIGNADO,1
8,CAL,VESTIDOR MUJERES,LOCKERT ASIGNADO,1
9,CAL,ADMINISTRACION,LOCKERT ASIGNADO,1
13,CAL,ADMINISTRACION,LOCKERT DISPONIBLE,1
14,CAL,ADMINISTRACION,LOCKERT ASIGNADO,1
19,CAL,ADMINISTRACION,LOCKERT ASIGNADO,1
22,SST,ADMINISTRACION,LOCKERT DISPONIBLE,1
24,CAL,ADMINISTRACION,LOCKERT DISPONIBLE,1
28,CAL,ADMINISTRACION,LOCKERT DISPONIBLE,1
29,CAL,ADMINISTRACION,LOCKERT ASIGNADO,1
16,CAL,VESTIDOR MUJERES,LOCKERT ASIGNADO,1
20,CAL,VESTIDOR MUJERES,LOCKERT DISPONIBLE,1
3,CAL,VESTIDOR MUJERES,LOCKERT ASIGNADO,1
9,CAL,VESTIDOR MUJERES,LOCKERT DISPONIBLE,1
1,EXT,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
2,EXT,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
3,EXT,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
4,EXT,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
4,EXT,ADMINISTRACION,LOCKERT DISPONIBLE,1
5,EXT,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
11,EXT,ADMINISTRACION,LOCKERT DISPONIBLE,1
23,GG,ADMINISTRACION,LOCKERT DISPONIBLE,1
1,LN,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
2,LN,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
3,LN,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
4,LN,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
5,LN,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
6,LN,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
7,LN,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
8,LN,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
9,LN,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
10,LN,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
11,LN,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
12,LN,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
13,LN,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
14,LN,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
15,LN,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
16,LN,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
17,LN,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
18,LN,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
19,LN,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
20,LN,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
21,LN,ADMINISTRACION,LOCKERT ASIGNADO,1
21,LN,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
22,LN,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
23,LN,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
24,LN,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
25,LN,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
26,LN,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
27,LN,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
28,LN,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
29,LN,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
30,LN,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
31,LN,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
32,LN,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
33,LN,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
34,LN,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
35,LN,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
36,LN,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
37,LN,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
38,LN,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
39,LN,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
40,LN,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
41,LN,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
42,LN,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
43,LN,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
44,LN,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
45,LN,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
46,LN,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
47,LN,VESTIDOR HOMBRES,LOCKERT DISPONIBLE,1
48,LN,VESTIDOR HOMBRES,LOCKERT DISPONIBLE,1
49,LN,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
50,LN,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
51,LN,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
52,LN,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
53,LN,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
54,LN,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
55,LN,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
56,LN,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
57,LN,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
58,LN,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
59,LN,VESTIDOR HOMBRES,LOCKERT DISPONIBLE,1
60,LN,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
61,LN,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
62,LN,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
63,LN,VESTIDOR HOMBRES,LOCKERT DISPONIBLE,1
64,LN,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
1,LOG,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
2,LOG,VESTIDOR HOMBRES,LOCKERT DISPONIBLE,1
3,LOG,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
4,LOG,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
5,LOG,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
6,LOG,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
7,LOG,ADMINISTRACION,LOCKERT ASIGNADO,1
7,LOG,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
8,LOG,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
9,LOG,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
10,LOG,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
11,LOG,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
12,LOG,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
13,LOG,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
14,LOG,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
15,LOG,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
16,LOG,VESTIDOR HOMBRES,LOCKERT DISPONIBLE,1
17,LOG,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
18,LOG,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
19,LOG,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
20,LOG,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
21,LOG,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
22,LOG,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
23,LOG,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
24,LOG,VESTIDOR HOMBRES,LOCKERT DISPONIBLE,1
24,LOG,VESTIDOR MUJERES,LOCKERT DISPONIBLE,1
25,LOG,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
1,LYD,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
2,LYD,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
3,LYD,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
4,LYD,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
5,LYD,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
6,LYD,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
7,LYD,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
8,LYD,VESTIDOR HOMBRES,LOCKERT DISPONIBLE,1
9,LYD,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
10,LYD,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
11,LYD,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
11,LYD,VESTIDOR MUJERES,LOCKERT ASIGNADO,1
12,LYD,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
12,LYD,VESTIDOR MUJERES,LOCKERT ASIGNADO,1
13,LYD,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
14,LYD,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
15,LYD,VESTIDOR HOMBRES,LOCKERT DISPONIBLE,1
16,LYD,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
17,LYD,ADMINISTRACION,LOCKERT ASIGNADO,1
17,LYD,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
18,LYD,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
19,LYD,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
20,LYD,VESTIDOR HOMBRES,LOCKERT DISPONIBLE,1
21,LYD,VESTIDOR HOMBRES,LOCKERT DISPONIBLE,1
22,LYD,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
65,LN,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
26,MTTO,ADMINISTRACION,LOCKERT ASIGNADO,1
1,PCC,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
1,PCC,VESTIDOR MUJERES,LOCKERT ASIGNADO,1
2,PCC,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
2,PCC,VESTIDOR MUJERES,LOCKERT ASIGNADO,1
3,PCC,VESTIDOR HOMBRES,LOCKERT DISPONIBLE,1
4,PCC,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
5,PCC,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
6,PCC,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
6,PCC,VESTIDOR MUJERES,LOCKERT ASIGNADO,1
7,PCC,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
8,PCC,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
9,PCC,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
10,PCC,VESTIDOR HOMBRES,LOCKERT DISPONIBLE,1
11,PCC,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
12,PCC,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
13,PCC,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
14,PCC,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
15,PCC,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
16,PCC,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
17,PCC,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
18,PCC,ADMINISTRACION,LOCKERT ASIGNADO,1
18,PCC,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
19,PCC,VESTIDOR HOMBRES,LOCKERT DISPONIBLE,1
20,PCC,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
21,PCC,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
22,PCC,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
23,PCC,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
24,PCC,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
25,PCC,VESTIDOR HOMBRES,LOCKERT DISPONIBLE,1
26,PCC,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
27,PCC,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
28,PCC,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
29,PCC,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
30,PCC,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
31,PCC,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
32,PCC,VESTIDOR HOMBRES,LOCKERT DISPONIBLE,1
33,PCC,VESTIDOR HOMBRES,LOCKERT DISPONIBLE,1
34,PCC,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
35,PCC,VESTIDOR HOMBRES,LOCKERT DISPONIBLE,1
36,PCC,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
37,PCC,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
38,PCC,VESTIDOR HOMBRES,LOCKERT DISPONIBLE,1
39,PCC,VESTIDOR HOMBRES,LOCKERT DISPONIBLE,1
40,PCC,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
41,PCC,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
42,PCC,VESTIDOR HOMBRES,LOCKERT DISPONIBLE,1
43,PCC,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
44,PCC,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
45,PCC,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
46,PCC,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
47,PCC,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
48,PCC,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
49,PCC,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
50,PCC,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
51,PCC,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
52,PCC,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
53,PCC,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
54,PCC,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
55,PCC,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
56,PCC,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
57,PCC,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
58,PCC,VESTIDOR HOMBRES,LOCKERT DISPONIBLE,1
2,SEG,ADMINISTRACION,LOCKERT DISPONIBLE,1
7,SST,VESTIDOR MUJERES,LOCKERT DISPONIBLE,1
10,SST,VESTIDOR MUJERES,LOCKERT ASIGNADO,1
12,SST,ADMINISTRACION,LOCKERT DISPONIBLE,1
8,TIC,ADMINISTRACION,LOCKERT ASIGNADO,1
5,VIS,ADMINISTRACION,LOCKERT VISITA,1
10,VIS,ADMINISTRACION,LOCKERT VISITA,1
13,VIS,VESTIDOR MUJERES,LOCKERT VISITA,1
14,VIS,VESTIDOR MUJERES,LOCKERT VISITA,1
15,VIS,ADMINISTRACION,LOCKERT VISITA,1
15,VIS,VESTIDOR MUJERES,LOCKERT VISITA,1
17,VIS,VESTIDOR MUJERES,LOCKERT VISITA,1
18,VIS,VESTIDOR MUJERES,LOCKERT VISITA,1
19,VIS,VESTIDOR MUJERES,LOCKERT VISITA,1
20,VIS,ADMINISTRACION,LOCKERT VISITA,1
21,VIS,VESTIDOR MUJERES,LOCKERT VISITA,1
22,VIS,VESTIDOR MUJERES,LOCKERT VISITA,1
23,VIS,VESTIDOR MUJERES,LOCKERT VISITA,1
25,VIS,ADMINISTRACION,LOCKERT VISITA,1
30,VIS,ADMINISTRACION,LOCKERT VISITA,1